LoanStatNew,Descripción,,,,,,,,,
acc_now_delinq,Número de cuentas en las que el prestatario se encuentra actualmente en mora.,,,,,,,,,
acc_open_past_24mths,Número de cuentas crediticias abiertas en los últimos 24 meses.,,,,,,,,,
addr_state,El estado indicado por el prestatario en la solicitud del préstamo.,,,,,,,,,
all_util,Relación entre el saldo y el límite de crédito en todas las cuentas crediticias.,,,,,,,,,
annual_inc,Ingreso anual declarado por el prestatario durante el registro.,,,,,,,,,
annual_inc_joint,"Ingreso anual combinado, declarado por los coprestatarios durante el registro.",,,,,,,,,
application_type,Indica si el préstamo corresponde a una solicitud individual o a una solicitud conjunta con dos coprestatarios.,,,,,,,,,
avg_cur_bal,Saldo corriente promedio de todas las cuentas.,,,,,,,,,
bc_open_to_buy,Crédito total disponible para compras en tarjetas bancarias revolventes.,,,,,,,,,
bc_util,Relación entre el saldo corriente total y el crédito máximo/límite de crédito de todas las cuentas de tarjetas bancarias.,,,,,,,,,
chargeoff_within_12_mths,Número de cuentas castigadas (charge-offs) en los últimos 12 meses.,,,,,,,,,
collection_recovery_fee,Comisión de cobranza posterior al castigo contable (charge-off).,,,,,,,,,
collections_12_mths_ex_med,"Número de cobranzas en los últimos 12 meses, excluyendo las cobranzas médicas.",,,,,,,,,
delinq_2yrs,Número de incidencias de mora de 30 días o más registradas en el historial crediticio del prestatario durante los últimos 2 años.,,,,,,,,,
delinq_amnt,Monto vencido adeudado en las cuentas en las que el prestatario se encuentra actualmente en mora.,,,,,,,,,
desc,Descripción del préstamo proporcionada por el prestatario.,,,,,,,,,
dti,"Relación calculada dividiendo los pagos mensuales totales de las obligaciones de deuda del prestatario, excluyendo la hipoteca y el préstamo solicitado a LC, entre el ingreso mensual declarado por el prestatario.",,,,,,,,,
dti_joint,"Relación calculada dividiendo los pagos mensuales totales de las obligaciones de deuda de los coprestatarios, excluyendo las hipotecas y el préstamo solicitado a LC, entre el ingreso mensual combinado declarado por los coprestatarios.",,,,,,,,,
earliest_cr_line,Mes en el que se abrió la línea de crédito más antigua reportada del prestatario.,,,,,,,,,
emp_length,"Antigüedad laboral en años. Los valores posibles van de 0 a 10, donde 0 significa menos de un año y 10 significa diez años o más.",,,,,,,,,
emp_title,Cargo u ocupación indicado por el prestatario al solicitar el préstamo.*,,,,,,,,,
fico_range_high,Límite superior del rango FICO al que pertenece el prestatario al originarse el préstamo.,,,,,,,,,
fico_range_low,Límite inferior del rango FICO al que pertenece el prestatario al originarse el préstamo.,,,,,,,,,
funded_amnt,Monto total comprometido para ese préstamo en ese momento.,,,,,,,,,
funded_amnt_inv,Monto total comprometido por los inversionistas para ese préstamo en ese momento.,,,,,,,,,
grade,Calificación (grade) del préstamo asignada por LC.,,,,,,,,,
home_ownership,"Situación de tenencia de vivienda indicada por el prestatario durante el registro o obtenida del informe crediticio. Los valores son: RENT (alquiler), OWN (propia), MORTGAGE (hipoteca), OTHER (otro).",,,,,,,,,
id,Identificador único asignado por LC a la publicación del préstamo.,,,,,,,,,
il_util,Relación entre el saldo corriente total y el crédito máximo/límite de crédito de todas las cuentas a plazos.,,,,,,,,,
initial_list_status,Estado inicial de publicación del préstamo. Los valores posibles son W y F.,,,,,,,,,
inq_fi,Número de consultas de crédito relacionadas con finanzas personales.,,,,,,,,,
inq_last_12m,Número de consultas de crédito en los últimos 12 meses.,,,,,,,,,
inq_last_6mths,Número de consultas de crédito en los últimos 6 meses (excluyendo consultas de automóviles e hipotecas).,,,,,,,,,
installment,Pago mensual que deberá realizar el prestatario si se origina el préstamo.,,,,,,,,,
int_rate,Tasa de interés del préstamo.,,,,,,,,,
issue_d,Mes en el que se financió el préstamo.,,,,,,,,,
last_credit_pull_d,Mes más reciente en el que LC consultó el historial crediticio para este préstamo.,,,,,,,,,
last_fico_range_high,Límite superior del rango al que pertenece el último puntaje FICO consultado del prestatario.,,,,,,,,,
last_fico_range_low,Límite inferior del rango al que pertenece el último puntaje FICO consultado del prestatario.,,,,,,,,,
last_pymnt_amnt,Monto total del último pago recibido.,,,,,,,,,
last_pymnt_d,Mes en el que se recibió el último pago.,,,,,,,,,
loan_amnt,"Monto publicado del préstamo solicitado por el prestatario. Si en algún momento el área de crédito reduce el monto del préstamo, dicha reducción se reflejará en este valor.",,,,,,,,,
loan_status,Estado actual del préstamo.,,,,,,,,,
max_bal_bc,Saldo corriente máximo adeudado en todas las cuentas revolventes.,,,,,,,,,
member_id,Identificador único asignado por LC al prestatario miembro.,,,,,,,,,
mo_sin_old_il_acct,Meses transcurridos desde la apertura de la cuenta bancaria a plazos más antigua.,,,,,,,,,
mo_sin_old_rev_tl_op,Meses transcurridos desde la apertura de la cuenta revolvente más antigua.,,,,,,,,,
mo_sin_rcnt_rev_tl_op,Meses transcurridos desde la apertura de la cuenta revolvente más reciente.,,,,,,,,,
mo_sin_rcnt_tl,Meses transcurridos desde la apertura de la cuenta más reciente.,,,,,,,,,
mort_acc,Número de cuentas hipotecarias.,,,,,,,,,
mths_since_last_delinq,Número de meses transcurridos desde la última mora del prestatario.,,,,,,,,,
mths_since_last_major_derog,Meses transcurridos desde la calificación de mora más reciente de 90 días o más.,,,,,,,,,
mths_since_last_record,Número de meses transcurridos desde el último registro público.,,,,,,,,,
mths_since_rcnt_il,Meses transcurridos desde la apertura de las cuentas a plazos más recientes.,,,,,,,,,
mths_since_recent_bc,Meses transcurridos desde la apertura de la cuenta de tarjeta bancaria más reciente.,,,,,,,,,
mths_since_recent_bc_dlq,Meses transcurridos desde la mora más reciente en una tarjeta bancaria.,,,,,,,,,
mths_since_recent_inq,Meses transcurridos desde la consulta de crédito más reciente.,,,,,,,,,
mths_since_recent_revol_delinq,Meses transcurridos desde la mora más reciente en una cuenta revolvente.,,,,,,,,,
next_pymnt_d,Fecha del próximo pago programado.,,,,,,,,,
num_accts_ever_120_pd,Número de cuentas que alguna vez estuvieron vencidas 120 días o más.,,,,,,,,,
num_actv_bc_tl,Número de cuentas de tarjetas bancarias actualmente activas.,,,,,,,,,
num_actv_rev_tl,Número de cuentas revolventes actualmente activas.,,,,,,,,,
num_bc_sats,Número de cuentas de tarjetas bancarias en situación satisfactoria.,,,,,,,,,
num_bc_tl,Número de cuentas de tarjetas bancarias.,,,,,,,,,
num_il_tl,Número de cuentas a plazos.,,,,,,,,,
num_op_rev_tl,Número de cuentas revolventes abiertas.,,,,,,,,,
num_rev_accts,Número de cuentas revolventes.,,,,,,,,,
num_rev_tl_bal_gt_0,Número de cuentas revolventes con saldo mayor que 0.,,,,,,,,,
num_sats,Número de cuentas en situación satisfactoria.,,,,,,,,,
num_tl_120dpd_2m,Número de cuentas actualmente con 120 días de atraso (actualizado en los últimos 2 meses).,,,,,,,,,
num_tl_30dpd,Número de cuentas actualmente con 30 días de atraso (actualizado en los últimos 2 meses).,,,,,,,,,
num_tl_90g_dpd_24m,Número de cuentas con 90 días o más de atraso en los últimos 24 meses.,,,,,,,,,
num_tl_op_past_12m,Número de cuentas abiertas en los últimos 12 meses.,,,,,,,,,
open_acc,Número de líneas de crédito abiertas en el historial crediticio del prestatario.,,,,,,,,,
open_acc_6m,Número de cuentas crediticias abiertas en los últimos 6 meses.,,,,,,,,,
open_il_12m,Número de cuentas a plazos abiertas en los últimos 12 meses.,,,,,,,,,
open_il_24m,Número de cuentas a plazos abiertas en los últimos 24 meses.,,,,,,,,,
open_act_il,Número de cuentas a plazos actualmente activas.,,,,,,,,,
open_rv_12m,Número de cuentas revolventes abiertas en los últimos 12 meses.,,,,,,,,,
open_rv_24m,Número de cuentas revolventes abiertas en los últimos 24 meses.,,,,,,,,,
out_prncp,Capital pendiente de pago correspondiente al monto total financiado.,,,,,,,,,
out_prncp_inv,Capital pendiente de pago correspondiente a la parte del monto total financiada por inversionistas.,,,,,,,,,
pct_tl_nvr_dlq,Porcentaje de cuentas crediticias que nunca presentaron mora.,,,,,,,,,
percent_bc_gt_75,Porcentaje de todas las cuentas de tarjetas bancarias que utilizan más del 75 % de su límite.,,,,,,,,,
policy_code,"Código de política disponible públicamente: policy_code=1
Productos nuevos no disponibles públicamente: policy_code=2",,,,,,,,,
pub_rec,Número de registros públicos negativos o adversos.,,,,,,,,,
pub_rec_bankruptcies,Número de quiebras registradas en registros públicos.,,,,,,,,,
purpose,Categoría indicada por el prestatario para la solicitud del préstamo.,,,,,,,,,
pymnt_plan,Indica si se ha establecido un plan de pagos para el préstamo.,,,,,,,,,
recoveries,Recuperación bruta posterior al castigo contable (charge-off).,,,,,,,,,
revol_bal,Saldo total de crédito revolvente.,,,,,,,,,
revol_util,"Tasa de utilización de las líneas de crédito revolvente, es decir, el monto de crédito utilizado por el prestatario en relación con todo el crédito revolvente disponible.",,,,,,,,,
sub_grade,Subcalificación (subgrade) del préstamo asignada por LC.,,,,,,,,,
tax_liens,Número de gravámenes fiscales.,,,,,,,,,
term,Número de pagos del préstamo. Los valores se expresan en meses y pueden ser 36 o 60.,,,,,,,,,
title,Título del préstamo proporcionado por el prestatario.,,,,,,,,,
tot_coll_amt,Monto total histórico adeudado en cobranzas.,,,,,,,,,
tot_cur_bal,Saldo corriente total de todas las cuentas.,,,,,,,,,
tot_hi_cred_lim,Crédito máximo/límite de crédito total.,,,,,,,,,
total_acc,Número total de líneas de crédito actualmente registradas en el historial crediticio del prestatario.,,,,,,,,,
total_bal_ex_mort,Saldo total de crédito excluyendo la hipoteca.,,,,,,,,,
total_bal_il,Saldo corriente total de todas las cuentas a plazos.,,,,,,,,,
total_bc_limit,Crédito máximo/límite de crédito total de las tarjetas bancarias.,,,,,,,,,
total_cu_tl,Número de cuentas de financiamiento.,,,,,,,,,
total_il_high_credit_limit,Crédito máximo/límite de crédito total de las cuentas a plazos.,,,,,,,,,
total_pymnt,Pagos recibidos hasta la fecha correspondientes al monto total financiado.,,,,,,,,,
total_pymnt_inv,Pagos recibidos hasta la fecha correspondientes a la parte del monto total financiada por inversionistas.,,,,,,,,,
total_rec_int,Intereses recibidos hasta la fecha.,,,,,,,,,
total_rec_late_fee,Comisiones por mora recibidas hasta la fecha.,,,,,,,,,
total_rec_prncp,Capital recibido hasta la fecha.,,,,,,,,,
total_rev_hi_lim  ,Crédito máximo/límite de crédito total de las cuentas revolventes.,,,,,,,,,
url,URL de la página de LC que contiene los datos de la publicación.,,,,,,,,,
verification_status,"Indica si el ingreso fue verificado por LC, no fue verificado o si se verificó la fuente de ingresos.",,,,,,,,,
verified_status_joint,"Indica si el ingreso conjunto de los coprestatarios fue verificado por LC, no fue verificado o si se verificó la fuente de ingresos.",,,,,,,,,
zip_code,Los primeros 3 dígitos del código postal proporcionado por el prestatario en la solicitud del préstamo.,,,,,,,,,
revol_bal_joint ,"Suma del saldo de crédito revolvente de los coprestatarios, neta de saldos duplicados.",,,,,,,,,
sec_app_fico_range_low ,Rango FICO (alto) del solicitante secundario.,,,,,,,,,
sec_app_fico_range_high ,Rango FICO (bajo) del solicitante secundario.,,,,,,,,,
