,porcentaje_faltante_train,decision
dti_joint,100.0,excluir
verification_status_joint,100.0,excluir
annual_inc_joint,100.0,excluir
open_acc_6m,100.0,excluir
open_act_il,100.0,excluir
inq_fi,100.0,excluir
sec_app_chargeoff_within_12_mths,100.0,excluir
sec_app_fico_range_high,100.0,excluir
sec_app_inq_last_6mths,100.0,excluir
revol_bal_joint,100.0,excluir
sec_app_mort_acc,100.0,excluir
sec_app_fico_range_low,100.0,excluir
sec_app_num_rev_accts,100.0,excluir
sec_app_mths_since_last_major_derog,100.0,excluir
sec_app_collections_12_mths_ex_med,100.0,excluir
sec_app_revol_util,100.0,excluir
sec_app_open_act_il,100.0,excluir
sec_app_open_acc,100.0,excluir
meses_desde_sec_app_earliest_cr_line,100.0,excluir
inq_last_12m,100.0,excluir
total_cu_tl,100.0,excluir
open_il_24m,100.0,excluir
all_util,100.0,excluir
max_bal_bc,100.0,excluir
open_rv_24m,100.0,excluir
open_rv_12m,100.0,excluir
il_util,100.0,excluir
total_bal_il,100.0,excluir
mths_since_rcnt_il,100.0,excluir
open_il_12m,100.0,excluir
mths_since_last_record,86.72880964980122,imputar
mths_since_recent_bc_dlq,78.48604496546858,imputar
mths_since_last_major_derog,78.41684644713098,imputar
mths_since_recent_revol_delinq,69.89050352098344,imputar
mths_since_last_delinq,53.59493086932334,imputar
mths_since_recent_inq,19.54790301352763,imputar
mo_sin_old_il_acct,17.84643356263823,imputar
num_tl_120dpd_2m,16.773178111558867,imputar
pct_tl_nvr_dlq,15.06492449220499,imputar
mo_sin_old_rev_tl_op,15.03914465204,imputar
avg_cur_bal,15.03914465204,imputar
mo_sin_rcnt_rev_tl_op,15.03914465204,imputar
num_il_tl,15.037787818347107,imputar
num_bc_tl,15.037787818347107,imputar
num_tl_30dpd,15.037787818347107,imputar
num_rev_tl_bal_gt_0,15.037787818347107,imputar
num_rev_accts,15.037787818347107,imputar
total_il_high_credit_limit,15.037787818347107,imputar
num_accts_ever_120_pd,15.037787818347107,imputar
num_actv_bc_tl,15.037787818347107,imputar
num_actv_rev_tl,15.037787818347107,imputar
total_rev_hi_lim,15.037787818347107,imputar
tot_coll_amt,15.037787818347107,imputar
tot_cur_bal,15.037787818347107,imputar
num_tl_op_past_12m,15.037787818347107,imputar
mo_sin_rcnt_tl,15.037787818347107,imputar
tot_hi_cred_lim,15.037787818347107,imputar
num_tl_90g_dpd_24m,15.037787818347107,imputar
num_op_rev_tl,15.037787818347107,imputar
num_bc_sats,12.496438311556153,imputar
num_sats,12.496438311556153,imputar
bc_util,11.466601538649408,imputar
percent_bc_gt_75,11.43268069632705,imputar
bc_open_to_buy,11.412328190933637,imputar
mths_since_recent_bc,11.341772838903136,imputar
total_bc_limit,10.554809297024462,imputar
acc_open_past_24mths,10.554809297024462,imputar
mort_acc,10.554809297024462,imputar
total_bal_ex_mort,10.554809297024462,imputar
emp_length,4.580670547211028,imputar
pub_rec_bankruptcies,0.16824737791888847,imputar
revol_util,0.07598268680207866,imputar
chargeoff_within_12_mths,0.017638838007625404,imputar
collections_12_mths_ex_med,0.017638838007625404,imputar
tax_liens,0.012211503236048358,imputar
acc_now_delinq,0.0,imputar
pub_rec,0.0,imputar
inq_last_6mths,0.0,imputar
fico_range_high,0.0,imputar
annual_inc,0.0,imputar
home_ownership,0.0,imputar
total_acc,0.0,imputar
open_acc,0.0,imputar
revol_bal,0.0,imputar
application_type,0.0,imputar
loan_amnt,0.0,imputar
term,0.0,imputar
purpose,0.0,imputar
verification_status,0.0,imputar
addr_state,0.0,imputar
dti,0.0,imputar
fico_range_low,0.0,imputar
delinq_2yrs,0.0,imputar
delinq_amnt,0.0,imputar
meses_desde_earliest_cr_line,0.0,imputar
